"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","tilmicosin","","<=4","<=","4","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2154","Pasteurella multocida USDA-ARS-USMARC-60214","tylosin","","==32","=","32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2144","Pasteurella multocida USDA-ARS-USMARC-60215","ampicillin","","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2150","Pasteurella multocida USDA-ARS-USMARC-60712","ampicillin","","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2146","Pasteurella multocida USDA-ARS-USMARC-59910","tylosin","","==8","=","8","mg/L","MIC","BOPO6F plate; cattle host; respiratory body site","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2144","Pasteurella multocida USDA-ARS-USMARC-60215","chlortetracycline","Susceptible","==2","=","2","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2145","Pasteurella multocida USDA-ARS-USMARC-60224","penicillin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2142","Pasteurella multocida USDA-ARS-USMARC-60717","oxytetracycline","Resistant",">8",">","8","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2154","Pasteurella multocida USDA-ARS-USMARC-60214","tiamulin","","==32","=","32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2152","Pasteurella multocida USDA-ARS-USMARC-59962","neomycin","",">32",">","32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2144","Pasteurella multocida USDA-ARS-USMARC-60215","tulathromycin","Susceptible","<=1","<=","1","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2144","Pasteurella multocida USDA-ARS-USMARC-60215","neomycin","","==8","=","8","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2149","Pasteurella multocida USDA-ARS-USMARC-60675","ampicillin","","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","penicillin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2145","Pasteurella multocida USDA-ARS-USMARC-60224","tylosin","","==32","=","32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2146","Pasteurella multocida USDA-ARS-USMARC-59910","sulfadimethoxine","",">256",">","256","mg/L","MIC","BOPO6F plate; cattle host; respiratory body site","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2145","Pasteurella multocida USDA-ARS-USMARC-60224","gentamicin","","==4","=","4","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2155","Pasteurella multocida USDA-ARS-USMARC-60381","clindamycin","","==16","=","16","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2152","Pasteurella multocida USDA-ARS-USMARC-59962","trimethoprim/sulfamethoxazole","","<=2/32","<=","2/32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2146","Pasteurella multocida USDA-ARS-USMARC-59910","oxytetracycline","Resistant",">8",">","8","mg/L","MIC","BOPO6F plate; cattle host; respiratory body site","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2141","Pasteurella multocida USDA-ARS-USMARC-60494","gentamicin","",">16",">","16","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2149","Pasteurella multocida USDA-ARS-USMARC-60675","enrofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2144","Pasteurella multocida USDA-ARS-USMARC-60215","gentamicin","","==2","=","2","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","spectinomycin","Intermediate",">64",">","64","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","tylosin","","==8","=","8","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2156","Pasteurella multocida USDA-ARS-USMARC-60714","florfenicol","Resistant","==8","=","8","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","trimethoprim/sulfamethoxazole","","<=2/32","<=","2/32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2152","Pasteurella multocida USDA-ARS-USMARC-59962","tulathromycin","Susceptible","==2","=","2","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2149","Pasteurella multocida USDA-ARS-USMARC-60675","tilmicosin","",">64",">","64","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2144","Pasteurella multocida USDA-ARS-USMARC-60215","tilmicosin","","<=4","<=","4","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2147","Pasteurella multocida USDA-ARS-USMARC-60380","florfenicol","Susceptible","==0.5","=","0.5","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2153","Pasteurella multocida USDA-ARS-USMARC-60385","sulfadimethoxine","",">256",">","256","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2146","Pasteurella multocida USDA-ARS-USMARC-59910","danofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","BOPO6F plate; cattle host; respiratory body site","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2143","Pasteurella multocida USDA-ARS-USMARC-60213","danofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2152","Pasteurella multocida USDA-ARS-USMARC-59962","enrofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","chlortetracycline","Susceptible","<=0.5","<=","0.5","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
