Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,fasta_path
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,ceftiofur,,1.0,,1.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.99, CI[0.98, 0.99]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,amoxicillin/clavulanic acid,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.96, CI[0.95, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,ampicillin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.93, CI[0.92, 0.93]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,azithromycin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.92, CI[0.87, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,chloramphenicol,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.90, CI[0.88, 0.91]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,ciprofloxacin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.95, CI[0.93, 0.96]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,ceftriaxone,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.98, CI[0.97, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,cefotaxime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.95, CI[0.90, 0.99]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,sulfisoxazole,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.99, CI[0.98, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,cefoxitin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.96, CI[0.93, 0.99]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,gentamicin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.92, CI[0.89, 0.95]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,kanamycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.86, CI[0.77, 0.95]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,nalidixic acid,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.95, CI[0.93, 0.96]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,pefloxacin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.98, CI[0.96, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,sulfamethoxazole,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.95, CI[0.93, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,spectinomycin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.94, CI[0.90, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,streptomycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.94, CI[0.93, 0.96]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,tetracycline,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.97, CI[0.96, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,ceftiofur,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.98, CI[0.97, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,trimethoprim,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.86, CI[0.78, 0.93]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,trimethoprim/sulfamethoxazole,,0.125,,0.125,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.96, CI[0.95, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
1128963,1128963.3,Salmonella enterica subsp. enterica serovar Heidelberg str. 41565,trimethoprim/sulfamethoxazole,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.85, CI[0.82, 0.88]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1128963_Salmonella_enterica\1128963.3.fasta
