Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,fasta_path
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,levofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.58, CI[0.57, 0.59]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,linezolid,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.57, CI[0.50, 0.64]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,moxifloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.85, CI[0.82, 0.88]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,nicotinamide,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.78, CI[0.58, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,ofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.89, CI[0.88, 0.91]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,prothionamide,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.66, CI[0.62, 0.71]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,pyrazinamide,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.82, CI[0.80, 0.84]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,rifabutin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.88, CI[0.85, 0.92]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,streptomycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.89, CI[0.88, 0.90]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,para-aminosalicylic acid,,2.0,,2.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.59, CI[0.54, 0.64]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,para-aminosalicylic acid,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.70, CI[0.67, 0.73]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,rifampin,,1.0,,1.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.90, CI[0.88, 0.92]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,rifampin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.94, CI[0.93, 0.95]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
