csv,fasta_dir,total_rows,matched,unmatched,match_%,output
amr_taxon_1005404_Escherichia_coli.csv,taxon_1005404_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005404_Escherichia_coli_mapped.csv
amr_taxon_1005405_Escherichia_coli.csv,taxon_1005405_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005405_Escherichia_coli_mapped.csv
amr_taxon_1005406_Escherichia_coli.csv,taxon_1005406_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005406_Escherichia_coli_mapped.csv
amr_taxon_1005407_Escherichia_coli.csv,taxon_1005407_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005407_Escherichia_coli_mapped.csv
amr_taxon_1005408_Escherichia_coli.csv,taxon_1005408_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005408_Escherichia_coli_mapped.csv
amr_taxon_1005410_Escherichia_coli.csv,taxon_1005410_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005410_Escherichia_coli_mapped.csv
amr_taxon_1005411_Escherichia_coli.csv,taxon_1005411_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005411_Escherichia_coli_mapped.csv
amr_taxon_1005412_Escherichia_coli.csv,taxon_1005412_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005412_Escherichia_coli_mapped.csv
amr_taxon_1005413_Escherichia_coli.csv,taxon_1005413_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005413_Escherichia_coli_mapped.csv
amr_taxon_1005414_Escherichia_coli.csv,taxon_1005414_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005414_Escherichia_coli_mapped.csv
amr_taxon_1005415_Escherichia_coli.csv,taxon_1005415_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005415_Escherichia_coli_mapped.csv
amr_taxon_1005416_Escherichia_coli.csv,taxon_1005416_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005416_Escherichia_coli_mapped.csv
amr_taxon_1005418_Escherichia_coli.csv,taxon_1005418_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005418_Escherichia_coli_mapped.csv
amr_taxon_1005419_Escherichia_coli.csv,taxon_1005419_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005419_Escherichia_coli_mapped.csv
amr_taxon_1005420_Escherichia_coli.csv,taxon_1005420_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005420_Escherichia_coli_mapped.csv
amr_taxon_1005421_Escherichia_coli.csv,taxon_1005421_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005421_Escherichia_coli_mapped.csv
amr_taxon_1005422_Escherichia_coli.csv,taxon_1005422_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005422_Escherichia_coli_mapped.csv
amr_taxon_1005423_Escherichia_coli.csv,taxon_1005423_Escherichia_coli,63,63,0,100.0,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\mapped_output\amr_taxon_1005423_Escherichia_coli_mapped.csv
